"items","intext","inname","inconstraint","outtext","outname","outconstraint","goldtext","goldname","goldconstraint","changed","correct","entity_name matched"
"181","sporophylls in about 8 ranks, the expanded ends hexagonal.","end",,"sporophylls in about 8 ranks, the expanded ends hexagonal.","end","sporophyll","sporophylls in about 8 ranks, the expanded ends hexagonal.","end","sporophyll","Y","Y",""
"182","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","surface","lower","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","surface","annulus lower","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","surface","annulus lower","Y","Y",""
"183","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","element",,"Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","element","annulus","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","element","annulus lower surface","Y","N",""
"184","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","end",,"Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","end","element","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","end","annulus lower surface element","Y","N",""
"185","Terminal elements up to 8 µm wide, with roundish end.","element","terminal","Terminal elements up to 8 µm wide, with roundish end.","element","annulus terminal","Terminal elements up to 8 µm wide, with roundish end.","element","terminal","Y","N",""
"186","Terminal elements up to 8 µm wide, with roundish end.","end",,"Terminal elements up to 8 µm wide, with roundish end.","end","annulus terminal element","Terminal elements up to 8 µm wide, with roundish end.","end","terminal element","Y","N",""
"187","rosettes present at flowering, at ends of elongated rhizomes, 1st leaves the smallest;","end",,"rosettes present at flowering, at ends of elongated rhizomes, 1st leaves the smallest;","end","rhizome","rosettes present at flowering, at ends of elongated rhizomes, 1st leaves the smallest;","end","rhizome","Y","Y",""
"188","the eyes placed high at the sides of the head;","side",,"the eyes placed high at the sides of the head;","side","head","the eyes placed high at the sides of the head;","side","head","Y","Y",""
"189","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","face",,"the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","face","head","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","face","head","Y","Y",""
"190","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","base",,"the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","base","clypeus","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","base","clypeus","Y","Y",""
"191","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","side",,"eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","side","head","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","side","head","Y","Y",""
"192","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","face",,"eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","face","head","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","face","head","Y","Y",""
"193","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","part","lower","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","part","face lower","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","part","face lower","Y","Y",""
"194","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","face",,"the antennae, cheeks, lower part of the face, and the legs, ferruginous;","face","head","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","face","head","Y","Y",""
"195","the scale of the peduncle incrassate, its anterior face rounder or concave, flattened, and slightly hollowed out behind.","face","anterior","the scale of the peduncle incrassate, its anterior face rounder or concave, flattened, and slightly hollowed out behind.","face","peduncle anterior","the scale of the peduncle incrassate, its anterior face rounder or concave, flattened, and slightly hollowed out behind.","face","peduncle anterior","Y","Y",""
"196","the flagellum, mandibles, anterior margin of the face, and the head behind more or less ferruginous;","margin","anterior","the flagellum, mandibles, anterior margin of the face, and the head behind more or less ferruginous;","margin","face anterior","the flagellum, mandibles, anterior margin of the face, and the head behind more or less ferruginous;","margin","face anterior","Y","Y",""
"197","the flagellum, mandibles, anterior margin of the face, and the head behind more or less ferruginous;","face",,"the flagellum, mandibles, anterior margin of the face, and the head behind more or less ferruginous;","face","mandible","the flagellum, mandibles, anterior margin of the face, and the head behind more or less ferruginous;","face","head","Y","N",""
"198","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","apex",,"Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","apex","phyllary","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","apex","phyllary","Y","Y",""
"199","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","face","abaxial","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","face","phyllary abaxial","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","face","phyllary abaxial","Y","Y",""
"200","Leaves 1-nerved, faces hispido-pilose;","face",,"Leaves 1-nerved, faces hispido-pilose;","face","leaf","Leaves 1-nerved, faces hispido-pilose;","face","leaf","Y","Y",""
"201","The abdomen longitudinally grooved, the grooves on the basal segment punctured;","groove",,"The abdomen longitudinally grooved, the grooves on the basal segment punctured;","groove","basal segment","The abdomen longitudinally grooved, the grooves on the basal segment punctured;","groove","basal segment","Y","Y",""
"202","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","groove",,"Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","groove","annulus","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","groove","annulus","Y","Y",""
"203","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin",,"Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin","annulus","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin","annulus","Y","Y",""
"204","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","upper","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","annulus upper","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","annulus upper","Y","Y",""
"205","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","lower","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","annulus lower","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","annulus lower","Y","Y",""
"206","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin",,"Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin","annulus","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin","annulus","Y","Y",""
"207","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","portion",,"Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","portion","thorax","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","portion","thorax","Y","Y",""
"208","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","groove",,"Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","groove","disc","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","groove","disk","Y","N",""
"209","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","groove","central","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","groove","thorax central","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","groove","thorax central","Y","Y",""
"210","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","side",,"the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","side","thorax","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","side","thorax","Y","Y",""
"211","the projections on the face, beneath which the antennae inserted, smooth, shining and rufo-piceous, the scape obscurely so;","face",,"the projections on the face, beneath which the antennae inserted, smooth, shining and rufo-piceous, the scape obscurely so;","face","head","the projections on the face, beneath which the antennae inserted, smooth, shining and rufo-piceous, the scape obscurely so;","face","head","Y","Y",""
"212","between the antennae three longitudinal grooves, the central one narrowest;","groove",,"between the antennae three longitudinal grooves, the central one narrowest;","groove","head face","between the antennae three longitudinal grooves, the central one narrowest;","groove","head face","Y","Y",""
"213","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","groove",,"petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","groove","petiole","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","groove","petiole upper side","Y","N",""
"214","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","upper","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole upper","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole upper","Y","Y",""
"215","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","lower","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole lower","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole lower","Y","Y",""
"216","fibrous layer absent;","layer",,"fibrous layer absent;","layer","seed","fibrous layer absent;","layer","seed","Y","Y",""
"217","Seeds with a red outer fleshy layer, ovoid, 1 cm long, 0.5 cm in diameter.","layer","outer","Seeds with a red outer fleshy layer, ovoid, 1 cm long, 0.5 cm in diameter.","layer","seed outer","Seeds with a red outer fleshy layer, ovoid, 1 cm long, 0.5 cm in diameter.","layer","seed outer","Y","Y",""
"218","Pileipellis a layer of cylindrical hyphae, 3-7 µm wide, not or slightly constricted at septa.","layer",,"Pileipellis a layer of cylindrical hyphae, 3-7 µm wide, not or slightly constricted at septa.","layer","hypha","Pileipellis a layer of cylindrical hyphae, 3-7 µm wide, not or slightly constricted at septa.","layer","hypha","Y","Y",""
"219","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","pore","apical","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","pore","spore apical","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","pore","spore apical","Y","Y",""
"220","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer",,"Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer","spot","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer","spot","Y","Y",""
"221","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer","external","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer","spore external","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer","spore external","Y","Y",""
"222","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","layer",,"Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","layer","upper stipe","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","layer","upper stipe","Y","Y",""
"223","Margin exceeding the lamellae by 3 mm, in very young specimens frequently with a line of tiny, whitish, woolly flocci.","margin",,"Margin exceeding the lamellae by 3 mm, in very young specimens frequently with a line of tiny, whitish, woolly flocci.","margin","pileus","Margin exceeding the lamellae by 3 mm, in very young specimens frequently with a line of tiny, whitish, woolly flocci.","margin","pileus","Y","Y",""
"224","Margin exceeding the lamellae by 3 mm, in very young specimens frequently with a line of tiny, whitish, woolly flocci.","line",,"Margin exceeding the lamellae by 3 mm, in very young specimens frequently with a line of tiny, whitish, woolly flocci.","line","pileus margin","Margin exceeding the lamellae by 3 mm, in very young specimens frequently with a line of tiny, whitish, woolly flocci.","line","pileus margin","Y","Y",""
"225","Stems glabrous or hairy in lines distally, sometimes stipitate-glandular distally;","line",,"Stems glabrous or hairy in lines distally, sometimes stipitate-glandular distally;","line","pileus margin","Stems glabrous or hairy in lines distally, sometimes stipitate-glandular distally;","line","stem","Y","N",""
"226","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","line",,"styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","line","style","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","line","style","Y","Y",""
"227","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","base",,"styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","base","style","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","base","style","Y","Y",""
"228","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","apex",,"styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","apex","style","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","apex","style","Y","Y",""
"229","the scale of the peduncle incrassate, narrow, rounded in front, and flat and perpendicular behind, its margin slightly notched above.","margin",,"the scale of the peduncle incrassate, narrow, rounded in front, and flat and perpendicular behind, its margin slightly notched above.","margin","scale","the scale of the peduncle incrassate, narrow, rounded in front, and flat and perpendicular behind, its margin slightly notched above.","margin","scale","Y","Y",""
"230","the eyes ovate, of moderate size, placed high on the sides of the head;","side",,"the eyes ovate, of moderate size, placed high on the sides of the head;","side","head","the eyes ovate, of moderate size, placed high on the sides of the head;","side","head","Y","Y",""
"231","the clypeus carinate in the middle, the anterior margin rounded;","margin","anterior","the clypeus carinate in the middle, the anterior margin rounded;","margin","clypeus anterior","the clypeus carinate in the middle, the anterior margin rounded;","margin","clypeus anterior","Y","Y",""
"232","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","upper","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","annulus upper","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","annulus upper","Y","Y",""
"233","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","lower","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","annulus lower","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","annulus lower","Y","Y",""
"234","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","margin",,"Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","margin","upper surface","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","margin","annulus lower surface","Y","N",""
"235","Rectrices uniformly blackish brown, or outer rectrices edged with narrow white margin.","margin",,"Rectrices uniformly blackish brown, or outer rectrices edged with narrow white margin.","margin","rectrix","Rectrices uniformly blackish brown, or outer rectrices edged with narrow white margin.","margin","outer rectrix","Y","N",""
"236","narrowed to 2.5 mm at base, margin straight;","base",,"narrowed to 2.5 mm at base, margin straight;","base","median leaflet","narrowed to 2.5 mm at base, margin straight;","base","median leaflet","Y","Y",""
"237","narrowed to 2.5 mm at base, margin straight;","margin",,"narrowed to 2.5 mm at base, margin straight;","margin","median leaflet","narrowed to 2.5 mm at base, margin straight;","margin","median leaflet","Y","Y",""
"238","upper margin entire (no teeth) to lightly toothed (1-3 teeth);","margin","upper","upper margin entire (no teeth) to lightly toothed (1-3 teeth);","margin","leaflet upper","upper margin entire (no teeth) to lightly toothed (1-3 teeth);","margin","leaflet upper","Y","Y",""
"239","Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","margin",,"Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","margin","upper annulus","Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","margin","upper annulus","Y","Y",""
"240","Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","margin",,"Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","margin","upper surface","Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","margin","upper annulus upper surface","Y","N",""
"241","Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","surface","upper","Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","surface","upper annulus upper","Upper annulus membranous, broadly flaring, with fringed margin, striate towards the margin on the upper surface, smooth on the underside.","surface","upper annulus upper","Y","Y",""
"242","the scale of the peduncle subovate with a slight notch above.","notch",,"the scale of the peduncle subovate with a slight notch above.","notch","scale","the scale of the peduncle subovate with a slight notch above.","notch","scale","Y","Y",""
"243","scale of the peduncle ovate, with a deep notch above.","notch",,"scale of the peduncle ovate, with a deep notch above.","notch","scale","scale of the peduncle ovate, with a deep notch above.","notch","scale","Y","Y",""
"244","Medium-length tail (range 105-130 mm), slightly notched when closed, wedge-shaped with central notch when spread.","notch","central","Medium-length tail (range 105-130 mm), slightly notched when closed, wedge-shaped with central notch when spread.","notch","tail central","Medium-length tail (range 105-130 mm), slightly notched when closed, wedge-shaped with central notch when spread.","notch","tail central","Y","Y",""
"245","on each side of the notch it rounded, and the lateral angles produced into short spines.","margin","upper","on each side of the notch it rounded, and the lateral angles produced into short spines.","margin","scale upper","on each side of the notch it rounded, and the lateral angles produced into short spines.","margin","scale upper","Y","Y",""
"246","on each side of the notch it rounded, and the lateral angles produced into short spines.","notch",,"on each side of the notch it rounded, and the lateral angles produced into short spines.","notch","scale","on each side of the notch it rounded, and the lateral angles produced into short spines.","notch","margin","Y","N",""
"247","the clypeus with a central longitudinal carina, its anterior margin with a broad shallow notch;","margin","anterior","the clypeus with a central longitudinal carina, its anterior margin with a broad shallow notch;","margin","clypeus anterior","the clypeus with a central longitudinal carina, its anterior margin with a broad shallow notch;","margin","clypeus anterior","Y","Y",""
"248","the clypeus with a central longitudinal carina, its anterior margin with a broad shallow notch;","notch",,"the clypeus with a central longitudinal carina, its anterior margin with a broad shallow notch;","notch","anterior margin","the clypeus with a central longitudinal carina, its anterior margin with a broad shallow notch;","notch","clypeus anterior margin","Y","N",""
"249","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","margin","inner","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","margin","mandible inner","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","margin","mandible inner","Y","Y",""
"250","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","notch",,"the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","notch","mandible","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","notch","mandible","Y","Y",""
"251","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","apex",,"the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","apex","mandible","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","apex","mandible","Y","Y",""
"252","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","base",,"the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","base","mandible","the mandibles very stout, their inner margins smooth and black, with a single notch at their apex, striated at their base and apex, and punctured in the midddle.","base","mandible","Y","Y",""
