"items","intext","outtext","goldtext","inname","inconstraint","outname","outconstraint","goldname","goldconstraint","changed","correct","entity_name matched"
"178","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm. Outer surface of the annulus consisting of cylindrical hyphae, 3-9 (12) µm wide, not or slightly constricted at septa.","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm. Outer surface of the annulus consisting of cylindrical hyphae, 3-9 (12) µm wide, not or slightly constricted at septa.","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm. Outer surface of the annulus consisting of cylindrical hyphae, 3-9 (12) µm wide, not or slightly constricted at septa.","element","terminal","element","cheilocystidium terminal","element","cheilocystidium terminal","Y","Y",""
"179","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm. Outer surface of the annulus consisting of cylindrical hyphae, 3-9 (12) µm wide, not or slightly constricted at septa.","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm. Outer surface of the annulus consisting of cylindrical hyphae, 3-9 (12) µm wide, not or slightly constricted at septa.","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm. Outer surface of the annulus consisting of cylindrical hyphae, 3-9 (12) µm wide, not or slightly constricted at septa.","surface","outer","surface","annulus outer","surface","annulus outer","Y","Y",""
"180","Terminal elements filamentous, 4-5 µm wide.","Terminal elements filamentous, 4-5 µm wide.","Terminal elements filamentous, 4-5 µm wide.","element","terminal","element","cheilocystidium terminal","element","cheilocystidium terminal","Y","Y",""
"181","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","surface","lower","surface","upper annulus lower","surface","upper annulus lower","Y","Y",""
"182","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","element",,"element","upper annulus lower surface","element","upper annulus lower surface","Y","Y",""
"183","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","element","broader","element","upper annulus lower surface broader","element","upper annulus lower surface broader","Y","Y",""
"184","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","Lower surface of the upper annulus constituted by cylindrical or fusiform elements, 6-10 µm wide, at times distinctly constricted at septa, showing some broader elements up to 13-16 µm wide with more rounded tips, easily disarticulating, at times in terminal position.","tip",,"tip","upper annulus lower surface element","tip","upper annulus lower surface broader element","Y","N",""
"185","Abdomen: the first node of the petiole, viewed in front, heart-shaped, the pointed end upwards;","Abdomen: the first node of the petiole, viewed in front, heart-shaped, the pointed end upwards;","Abdomen: the first node of the petiole, viewed in front, heart-shaped, the pointed end upwards;","end",,"end","node","end","node","Y","Y",""
"186","Female-cones stalked but not elevated above soil surface, ovoid to globose;","Female-cones stalked but not elevated above soil surface, ovoid to globose;","Female-cones stalked but not elevated above soil surface, ovoid to globose;","surface",,"surface","soil","surface","soil","Y","Y",""
"187","sporophylls in about 8 ranks, the expanded ends hexagonal.","sporophylls in about 8 ranks, the expanded ends hexagonal.","sporophylls in about 8 ranks, the expanded ends hexagonal.","end",,"end","sporophyll","end","sporophyll","Y","Y",""
"188","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","surface","lower","surface","annulus lower","surface","annulus lower","Y","Y",""
"189","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","element",,"element","annulus","element","annulus lower surface","Y","N",""
"190","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","Annulus lower surface constituted by cylindrical hyphae, 3-10 µm wide, not or little constricted at septa, without easily disarticulating elements with rounded ends.","end",,"end","annulus element","end","annulus lower surface element","Y","N",""
"191","rosettes present at flowering, at ends of elongated rhizomes, 1st leaves the smallest;","rosettes present at flowering, at ends of elongated rhizomes, 1st leaves the smallest;","rosettes present at flowering, at ends of elongated rhizomes, 1st leaves the smallest;","end",,"end","rhizome","end","rhizome","Y","Y",""
"192","the eyes placed high at the sides of the head;","the eyes placed high at the sides of the head;","the eyes placed high at the sides of the head;","side",,"side","head","side","head","Y","Y",""
"193","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","face",,"face","head","face","head","Y","Y",""
"194","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","the face from the base of the clypeus obliquely truncated, the truncation roughly striated;","base",,"base","clypeus","base","clypeus","Y","Y",""
"195","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","side",,"side","head","side","head","Y","Y",""
"196","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","eyes ovate, very prominent, situated high on the sides of the head, the head narrowed posteriorly, the carinae much elevated on the face, the palpi pale rufo-testaceous.","face",,"face","head","face","head","Y","Y",""
"197","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","part","lower","part","head face lower","part","head face lower","Y","Y",""
"198","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","the antennae, cheeks, lower part of the face, and the legs, ferruginous;","face",,"face","head","face","head","Y","Y",""
"199","the scale of the peduncle incrassate, its anterior face rounder or concave, flattened, and slightly hollowed out behind.","the scale of the peduncle incrassate, its anterior face rounder or concave, flattened, and slightly hollowed out behind.","the scale of the peduncle incrassate, its anterior face rounder or concave, flattened, and slightly hollowed out behind.","face","anterior","face","peduncle anterior","face","peduncle anterior","Y","Y",""
"200","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","apex",,"apex","phyllary","apex","phyllary","Y","Y",""
"201","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","Phyllaries in 2–4 series (whitish), lanceolate to ovate (unequal), apices acute, abaxial face glabrous or glandular-hairy.","face","abaxial","face","phyllary abaxial","face","phyllary abaxial","Y","Y",""
"202","Leaf faces gland-dotted (in pits);","Leaf faces gland-dotted (in pits);","Leaf faces gland-dotted (in pits);","face","leaf","face","leaf","face","leaf","N","Y",""
"203","Leaves 1-nerved, faces hispido-pilose;","Leaves 1-nerved, faces hispido-pilose;","Leaves 1-nerved, faces hispido-pilose;","face",,"face","leaf","face","leaf","Y","Y",""
"204","The abdomen longitudinally grooved, the grooves on the basal segment punctured;","The abdomen longitudinally grooved, the grooves on the basal segment punctured;","The abdomen longitudinally grooved, the grooves on the basal segment punctured;","groove",,"groove","abdomen","groove","basal segment","Y","N",""
"205","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","groove",,"groove","annulus","groove","annulus","Y","Y",""
"206","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin",,"margin","annulus","margin","annulus","Y","Y",""
"207","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","upper","surface","annulus upper","surface","annulus upper","Y","Y",""
"208","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","surface","lower","surface","annulus lower","surface","annulus lower","Y","Y",""
"209","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","Annulus superous, membranous, thick, double, up to 2 cm broad, with a groove along the margin separating the white, smooth or slightly striate upper surface from the lower, which pale-brown, fibrillose and shows large, discrete, deciduous, brown, irregularly distributed squames from the universal veil along the margin.","margin",,"margin","annulus","margin","annulus","Y","Y",""
"210","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","portion",,"portion","thorax","portion","thorax","Y","Y",""
"211","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","Thorax: the dilated portion with transverse grooves on the disk, enclosed by curved ones;","groove",,"groove","thorax","groove","disc","Y","N",""
"212","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","groove","central","groove","thorax central","groove","thorax central","Y","Y",""
"213","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","the thorax beyond much compressed, with a central longitudinal groove above, the sides obliquely striated;","side",,"side","thorax","side","thorax","Y","Y",""
"214","the projections on the face, beneath which the antennae inserted, smooth, shining and rufo-piceous, the scape obscurely so;","the projections on the face, beneath which the antennae inserted, smooth, shining and rufo-piceous, the scape obscurely so;","the projections on the face, beneath which the antennae inserted, smooth, shining and rufo-piceous, the scape obscurely so;","face",,"face","head","face","head","Y","Y",""
"215","between the antennae three longitudinal grooves, the central one narrowest;","between the antennae three longitudinal grooves, the central one narrowest;","between the antennae three longitudinal grooves, the central one narrowest;","groove",,"groove","thorax","groove","head face","Y","N",""
"216","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","groove",,"groove","petiole","groove","petiole upper side","Y","N",""
"217","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","upper","side","petiole upper","side","petiole upper","Y","Y",""
"218","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","lower","side","petiole lower","side","petiole lower","Y","Y",""
"219","fibrous layer absent;","fibrous layer absent;","fibrous layer absent;","layer",,"layer","seed","layer","seed","Y","Y",""
"220","Seeds with a red outer fleshy layer, ovoid, 1 cm long, 0.5 cm in diameter.","Seeds with a red outer fleshy layer, ovoid, 1 cm long, 0.5 cm in diameter.","Seeds with a red outer fleshy layer, ovoid, 1 cm long, 0.5 cm in diameter.","layer","outer","layer","seed outer","layer","seed outer","Y","Y",""
"221","Pileipellis a layer of cylindrical hyphae, 3-7 µm wide, not or slightly constricted at septa.","Pileipellis a layer of cylindrical hyphae, 3-7 µm wide, not or slightly constricted at septa.","Pileipellis a layer of cylindrical hyphae, 3-7 µm wide, not or slightly constricted at septa.","layer",,"layer","hypha","layer","hypha","Y","Y",""
"222","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","pore","apical","pore","spore apical","pore","spore apical","Y","Y",""
"223","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer",,"layer","spot","layer","spot","Y","Y",""
"224","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","Spores (7-) 7.5-11 (-12) x (5.2-) 5.5-7.5 (-8) μm, av. 8.73 x 6.37 µm, Q= (1.18-) 1.23-1.42 (-1.67), av. 1.36, broadly ellipsoid to ellipsoid, brown, often with a rudimentary apical pore, sometimes clearly visible appearing as a small translucent spot where the blackish layer (episporium) narrows or disappears at the apex, while the external hyaline layer (exosporium) remains uninterrupted, sometimes with a slightly truncate apical pole, usually monoguttulate.","layer","external","layer","spore external","layer","spore external","Y","Y",""
"225","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","layer",,"layer","upper stipe","layer","upper stipe","Y","Y",""
"226","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","Context firm, white on exposure, showing no colour changes or just pale pinkish in the cortical layers of upper stipe and ochraceous towards the stipe base.","base","stipe","base","stipe","base","stipe","N","Y",""
"227","Stems glabrous or hairy in lines distally, sometimes stipitate-glandular distally;","Stems glabrous or hairy in lines distally, sometimes stipitate-glandular distally;","Stems glabrous or hairy in lines distally, sometimes stipitate-glandular distally;","line",,"line","stem","line","stem","Y","Y",""
"228","leaf margins entire, subserrate, serrate, or pinnately lobed;","leaf margins entire, subserrate, serrate, or pinnately lobed;","leaf margins entire, subserrate, serrate, or pinnately lobed;","margin","leaf","margin","leaf","margin","leaf","N","Y",""
"229","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","line",,"line","style","line","style","Y","Y",""
"230","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","base",,"base","style","base","style","Y","Y",""
"231","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","styles abaxially glabrous and smooth or papillate (distally), branches ± linear, adaxially stigmatic in 2 lines from bases to apices or appendages, appendages usually deltate to lanceolate (abaxially papillate to hispidulous, adaxially smooth, glabrous)","apex",,"apex","style","apex","style","Y","Y",""
"232","the scale of the peduncle incrassate, narrow, rounded in front, and flat and perpendicular behind, its margin slightly notched above.","the scale of the peduncle incrassate, narrow, rounded in front, and flat and perpendicular behind, its margin slightly notched above.","the scale of the peduncle incrassate, narrow, rounded in front, and flat and perpendicular behind, its margin slightly notched above.","margin",,"margin","scale","margin","scale","Y","Y",""
"233","the eyes ovate, of moderate size, placed high on the sides of the head;","the eyes ovate, of moderate size, placed high on the sides of the head;","the eyes ovate, of moderate size, placed high on the sides of the head;","side",,"side","head","side","head","Y","Y",""
"234","the clypeus carinate in the middle, the anterior margin rounded;","the clypeus carinate in the middle, the anterior margin rounded;","the clypeus carinate in the middle, the anterior margin rounded;","margin","anterior","margin","clypeus anterior","margin","clypeus anterior","Y","Y",""
"235","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","upper","surface","annulus upper","surface","annulus upper","Y","Y",""
"236","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","surface","lower","surface","annulus lower","surface","annulus lower","Y","Y",""
"237","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","Annulus superous, thin, membranous, simple, up to 1.8 cm broad, supramedian, upper surface smooth or very finely striate, lower surface smooth with margin generally double because often denticulate along the lower rim.","margin",,"margin","annulus","margin","annulus lower surface","Y","N",""
